,FANG.US
506,-0.4380596534175139
507,0.608272506082736
508,0.0256049161438945
509,-0.1410256410256403
510,-0.1669449081802946
511,0.0898126764177485
512,-0.0414593166015582
513,-0.4353487172876271
514,-0.4922917476356982
515,-0.0777907429015976
516,0.0
517,-0.4398884261682846
518,-0.08106346930795
519,0.0911458333333244
520,0.2985849668960197
521,-0.2472670484122823
522,-0.1107419712070978
523,-0.2154328241284659
524,-0.0653253200940647
525,0.9373953799799168
526,1.5653320151589978
527,0.5611764223979047
528,0.6309019863236777
529,0.8715300193673324
530,-0.7152145643693071
531,0.0324991875203055
532,-0.0975927130774272
533,0.9186140209508468
534,-0.8123476848090984
535,0.4367518602394098
536,-0.4386677497969182
537,-0.0813008130081254
538,0.3160709944079751
539,-0.0243190661478608
540,0.1780223337109555
541,-0.1296386323124263
542,0.1779359430604973
543,0.2903225806451608
544,-0.1858285529611408
545,0.1532752500806693
546,0.3536977491961511
547,-0.1126669885723487
548,0.8458346632620397
549,0.3973931012557622
550,0.4621606008087712
551,0.2075406433760023
552,0.5077283458334371
553,0.2830016014641946
554,-0.324315391554031
555,0.1176066024759231
556,0.3028398377235593
557,0.460698441587989
558,0.2213268259463224
559,0.2208380520951225
560,0.3948110547095414
561,-0.3622778218046047
562,-0.1814676193716645
563,-0.096497701084189
564,0.0124863784961972
565,-0.1546157344247497
566,0.124900647212444
567,-0.1820043226026579
568,0.1590005678591715
569,-0.284281165006083
570,-0.1773061783330483
571,-0.4412101764840601
572,0.4903637815030136
573,0.4766768811712651
574,-0.2731307613519914
575,1.4225106064387327
576,-1.301984578435092
577,-0.655257968064127
578,1.0761485210824466
579,-0.2397173858188212
580,-0.0757575757575786
581,-0.7569493034794209
582,-0.7368960656157924
583,-0.1540238737004294
584,0.0582384286399669
585,-0.1225276136655509
586,0.0641766140418395
587,-0.4900032374522825
588,-0.1396243961664738
589,0.7919015889287663
590,-0.1143027213284284
591,0.2547664747280888
592,-0.346816059085848
593,-0.231531531531536
594,0.1798561151079143
595,-0.193075041832933
596,0.0771704180064337
597,0.9175481075570268
598,0.1399847289386605
599,0.6825075834176014
600,-0.3234594022745189
601,0.1716171617161656
602,-0.1189532117367214
603,0.6434668417596967
604,0.4054407533350616
605,0.0522875816993545
606,-0.1439979054850103
607,0.2481065552363512
608,0.5454545454545476
609,-0.2212677339580915
610,0.207819197298346
611,0.0129870129870196
612,0.0713775874375534
613,0.3685027152831608
614,0.3247757500773215
615,-0.3517847904811246
616,-0.0129349372655424
617,0.2708978328173294
618,-0.025806451612898
619,0.2317198764160746
620,0.218368657675
621,0.4475703324808293
622,0.1274588185410459
623,0.1532772251976498
624,-0.2172523961661363
625,-0.3561626429478994
626,0.8441476628449056
627,-0.2906242102603032
628,-0.5207671789660823
629,0.5620461004104745
630,0.0315656565656637
631,0.5337519623233873
632,-0.3971756398940836
633,-0.2781641168289276
634,0.1640999747538443
635,0.1197755783899626
636,0.0441083805923082
637,-0.2273588480484938
638,-0.0631951466127365
639,0.063155235569025
640,-0.3024148848429059
641,-0.2174961909598628
642,-0.2928817012606697
643,-0.0509619059752914
644,0.178049090677859
645,-0.1145912910618655
646,0.1271617497456692
647,0.1777100787001784
648,-0.2736587538980505
649,-0.7114472503525094
650,0.3932994250331698
651,0.9256723448540274
652,0.0602145828771697
653,0.359986909566923
654,-0.2624958985015803
655,-0.0109385254867699
656,-0.3953437294091801
657,-0.4744565817058444
658,-0.0165535507366336
