,MU.US
1077,-0.1075702568239858
1078,-0.0942126514131997
1079,-0.2902071944388249
1080,-0.6230110707722556
1081,0.3433946940985313
1082,0.2160994057266488
1083,0.2504516617514769
1084,0.2474129821260594
1085,0.2814258911819994
1086,-0.2148804727370545
1087,0.2277904328018246
1088,-0.2417730020147651
1089,-0.4452239611440883
1090,-0.2163331530557204
1091,0.0270343336036904
1092,0.1282483968950372
1093,-0.1610419182242432
1094,-0.0621025571641228
1095,0.1081227192863877
1096,-0.0946969696969604
1097,0.404203718674208
1098,0.0807754442649465
1099,0.0941492938802867
1100,-0.2798626441010385
1101,0.6578947368420957
1102,-0.0792537950374903
1103,0.1096157359478757
1104,-0.0426465212623501
1105,0.1581508515815202
1106,0.4204872127548968
1107,0.057993825292086
1108,0.0423574972770139
1109,0.1269112225781156
1110,-0.1816310468002732
1111,0.1088599939522266
1112,0.0664813247914986
1113,-0.242336120198719
1114,0.0
1115,-0.3282275711159689
1116,0.1153542590006664
1117,0.0423595610626949
1118,0.0425841674249316
1119,0.0606244316459498
1120,-0.0121263566361376
1121,-0.0485289657264255
1122,-0.0485525277659671
1123,-0.4328909336717554
1124,0.0123110677718289
1125,0.1158916413153676
1126,0.043585225043121
1127,0.13000723065799
1128,0.2164502164502041
1129,0.0865051903114219
1130,-0.0072092855597944
1131,-0.1299357539883107
1132,-0.2263104736603042
1133,0.0887668064189766
1134,-0.086818116046885
1135,0.122841245754742
1136,0.0072254335260255
1137,-0.2462697377951639
1138,-0.0362292587493742
1139,-0.0870258902023385
1140,0.1809758216302302
1141,-0.0579458206576735
1142,-0.0362292587493742
1143,-0.196021489763309
1144,-0.0072605822987143
1145,0.0216318548662403
1146,0.0146610538539617
1147,0.0507798331519718
1148,0.3397917871602074
1149,-0.0868306801736646
1150,-0.1698643750793092
1151,-0.2466060929983953
1152,0.2452548517807677
1153,-0.3049364189918379
1154,0.1229569490439036
1155,0.0971174267083531
1156,0.2612127766471133
1157,-0.0600702950260905
1158,-0.1972142421124928
1159,0.1609907912415038
1160,-0.0813606312646655
1161,0.2446548239549026
1162,0.0531575590048874
1163,-0.1726343187653773
1164,0.1139301101005142
1165,-0.0798466943468419
1166,0.0585199765920015
1167,-0.1951986047190899
1168,-0.0126879198208733
1169,-0.0480025601365424
1170,-0.1420758022475855
1171,0.0299017513883017
1172,-0.0213629566331937
1173,-0.1551216902915327
1174,-0.3812285223367587
1175,-0.1722923389341839
1176,-0.3544701155198473
1177,-0.0753958280975148
1178,0.2006521193880067
1179,0.2564262930764879
1180,0.1311680199875128
1181,0.3485621810033625
1182,-0.0685144814699378
1183,0.124416796267489
1184,0.5998021271333162
1185,-0.4472049689440986
1186,0.074478649453826
1187,-0.3487792725460901
1188,0.0373552484124033
1189,-0.0006225913497187
1190,0.0068480358588032
1191,0.0186729739823236
1192,-0.1433647073489931
1193,-0.53264820152901
1194,0.2250844066524854
1195,-0.0750844700287852
1196,-0.0688748356395875
1197,0.0938321030902074
1198,0.1561426519268003
1199,0.52808151093439
1200,-0.1664078100732257
1201,-0.2618330986401124
1202,0.3937513848881043
1203,-0.5010577886649625
1204,0.0278287972393738
1205,0.0278210549744109
1206,-0.1783723522853919
1207,0.8072542297910028
1208,-0.1883447817416371
1209,0.0332262709048633
1210,0.0608777464165063
1211,-0.1940778529444351
1212,-0.1265879008616908
