,ZM.US
575,-1.1576527462133686
576,-0.5640984992601963
577,-0.0105697072191154
578,0.3633299984203031
579,0.1432834251311282
580,-0.3522148642587754
581,0.071183759557089
582,-1.4849498327759227
583,-0.1218875152359351
584,-1.0516769984569965
585,0.3856110451946796
586,-0.5340634912028548
587,-0.9966322591243836
588,1.5552560646900222
589,-0.4677572969786323
590,-0.4468351331501756
591,-0.4124330820495987
592,0.5324929363181862
593,0.6732780138973229
594,-0.905377808032672
595,-0.2265160198679068
596,-1.2797479200641242
597,0.5046407700240576
598,0.4121819625886658
599,-0.1316330728095484
600,-0.5233526286575261
601,0.2872805861578282
602,-0.1755752399308314
603,0.0646437994722967
604,-0.1876866953924184
605,-0.0344827950949833
606,0.4555002763957921
607,0.0236854571293309
608,-0.1423149905123393
609,0.1013624695583468
610,0.145906724854095
611,-0.1355744804075096
612,0.2547034805099243
613,0.4906811346050815
614,0.3585357598479483
615,-0.3343695305765191
616,-0.3854827712802295
617,0.1309448983867588
618,0.1124859392575945
619,0.223164763458406
620,0.0821510536198617
621,-0.2195504443282736
622,-0.0130701869036756
623,0.2633225570966709
624,-0.0130374696878859
625,0.5751424259317196
626,1.1879692419390593
627,0.3104348874275121
628,0.5023987206823004
629,0.5869134541781732
630,0.5886737784801744
631,0.09473434909608
632,0.5782010360525447
633,-0.8203423808393377
634,-0.3520567526073485
635,-0.0423706371484476
636,0.2483093829247669
637,-0.0689930451838424
638,0.1137750148588765
639,-0.0026140684410538
640,-0.1573553719008336
641,0.0356897372177843
642,-0.2225637221132889
643,0.40111891064548
644,0.0738357681556957
645,-0.3957905883910264
646,0.1308762096134536
647,-0.2544664157345164
648,-0.0848941476096973
649,0.5304129832431695
650,-0.2957438601002898
651,-1.1944773865410434
652,0.4816896301667828
653,0.4306454524356007
654,0.0335120643431623
655,-0.4966022293603336
656,-0.0837741132545143
657,0.0233299634497174
658,0.0673522783203354
659,0.3150419625564951
660,0.0984439865067739
661,0.1888429698865802
662,0.2342548453298931
663,0.100880231991173
664,0.0871772518653303
665,0.2685009972894214
666,-0.0690908160393003
667,-0.046081769539952
668,-0.1872370985944439
669,0.18560950320657
670,0.3812802856414191
671,0.0089254975964828
672,0.1031741988077723
673,0.1551062724691725
674,0.4003242722873839
675,0.1066414532118399
676,-0.5821325648414933
677,0.2930866042181432
678,-0.8032222736829787
679,-0.9066039252363768
680,0.4060662513826741
681,-0.7862465528369438
682,0.1406222534716005
683,-0.5390121056817131
684,0.3288025129906363
685,-0.0323035357688281
686,0.2825892791777184
687,0.1935715991328762
688,-0.4882153398828022
