,ENPH.US
551,0.1054853452632945
552,-0.7019221677405465
553,0.6161900926298874
554,0.2116600578716162
555,-0.6743270216324109
556,-0.4987801572241886
557,-0.304529881994672
558,-0.3519877759283919
559,0.2581112915797566
560,0.1254688774123337
561,-0.089778817640173
562,-0.0816837748795195
563,0.6384763141519936
564,0.1701507049100619
565,-0.2816205613885735
566,0.1783821780036818
567,0.7145503057373338
568,0.0633084570441514
569,-0.0048288442966061
570,0.1178992497320465
571,-0.4521963824289424
572,-0.4977277645531203
573,-0.6534524068830414
574,-0.2894435039047418
575,-0.9870894961143072
576,0.0626330953275675
577,-2.7545372634830745
578,0.5217836678510821
579,-0.0352247982579779
580,1.1584478065455546
581,-0.3238917820398773
582,-0.8776987635338616
583,0.7629219912263899
584,0.006357279084564
585,-1.7596066761547409
586,-1.085534920219739
587,0.5010085236515129
588,-0.3788126183789328
589,0.2313231029876452
590,-1.5752721977694644
591,0.1289000528820684
592,1.3498532768177327
593,-0.5244182235332566
594,-0.4246074849412529
595,0.5401689255548934
596,-0.4406155464947965
597,-0.1910786057850642
598,0.0625555592137746
599,0.3706619431870351
600,-0.8734297226831054
601,0.3385826771653597
602,0.6784366629518891
603,-1.081027667984195
604,-1.208096647731823
605,0.2752225137521588
606,-1.0696851706476536
607,-0.3913782635094034
608,0.3830645161290277
609,-1.0677316814736346
610,0.8124422217721968
611,0.1977166370824528
612,-0.3928556964075974
613,-0.0628153431541412
614,0.682229824914467
615,-0.1047584511865872
616,0.7993924617290858
617,-0.18620482530784
618,-0.25895294684438
619,-0.3767958250216616
620,-0.0141066462456154
621,0.1529236588997526
622,-0.1410494075924973
623,0.4213652233235729
624,0.3240000000000009
625,0.7889667609328297
626,0.1636728180367352
627,0.0409014683627235
628,-0.4767188591624528
629,-0.020552449852027
630,0.119062281890213
631,-0.2263188214961661
632,0.4159239453357045
633,-0.4135291939266738
634,-0.3799925653628464
635,-0.0763458803192641
636,0.1299124834874571
637,0.2676108526493381
638,-0.1814807176737462
639,-0.0784281350615032
640,-0.0908940670963472
641,0.5628363666242162
642,0.2090849458838926
643,-0.3847974154783109
644,0.2360814583675433
645,0.0533464647708135
646,-0.0328393744099109
647,-0.2304052664060902
648,-0.450487683914698
649,-0.132428405893073
650,0.6873401534526963
651,-0.0233963507022411
652,-0.1366741381150622
653,-1.0189773135895752
654,0.5762602846192972
655,-0.867700655438652
656,0.0485814644690624
657,0.2587182665876083
658,0.1291920116272859
659,-0.9784203946295652
660,-0.8441594036068586
661,-1.6889632107023416
662,0.055710306406682
663,0.1363042087401622
664,1.0541671253990927
665,0.8676671214188285
666,-1.3615917835436369
667,1.3325867311102255
668,-0.5598485264255447
