,PEP.US
372,-0.0031920326864299
373,-0.320225438708851
374,-0.0833279917953948
375,0.3469614050148337
376,-0.1612209802235557
377,-0.2082286206648898
378,0.0
379,-0.0071808128680305
380,0.2792696025778838
381,-0.0716589036187705
382,0.2145155523775351
383,0.0107246273192112
384,-0.2113634735258407
385,-0.0071653768988183
386,0.1216632076146765
387,-0.2367288378766026
388,0.107488355428166
389,0.0
390,-0.3018759433623344
391,0.1936872309899643
392,0.0430230890577959
393,-0.0502188105316174
394,0.1074960584778598
395,0.014330753797657
396,-0.0215007525263392
397,-0.0788982929278537
398,-0.0502332256907019
399,-0.3817893675262939
400,0.4178363909381644
401,0.1141217516058634
402,-0.0619902120717774
403,0.0423963734794362
404,-0.1338906668408229
405,-0.0006531294698579
406,0.2092159290881821
407,0.0325775345321754
408,-0.0717219795266253
409,0.0456204379561999
410,0.071637902963213
411,0.0195337934626911
412,0.1170655567117445
413,-0.2150817962588699
414,-0.2744918632769204
415,-0.0457695828429404
416,0.052280747614699
417,0.1240127928986343
418,-0.0653125204101589
419,-0.1111547011900195
420,0.0196116885663863
421,-0.1112565445026096
422,-0.058935236723203
423,0.0915930650964909
424,0.1437250930946618
425,0.3300447157356626
426,-0.0568141467225226
427,0.2832660576446467
428,-0.0070113264792418
429,-0.0567602040816237
430,0.116785221361073
431,0.0247664874044697
432,0.4963914803731825
433,-0.2541206367133827
434,0.0811115813231831
435,-0.3113060704683725
436,0.106014559332819
437,0.2397236127758608
438,0.0774975341693569
439,-0.1128508957539826
440,-0.1200480192076742
441,-0.0494559841741003
442,-0.0484903662507076
443,-0.0646484651294334
444,-0.1558515160102004
445,0.1697312588401761
446,-0.0495294700346658
447,-0.1417133139658591
448,-0.2276124835327029
449,0.0996807378502834
450,-0.2954637622385672
451,-0.0347725297015371
452,0.1042088809123941
453,-0.2612026932899864
454,0.2200857175952713
455,-0.1043599257885011
456,-0.0231964741359267
457,0.0
458,-0.046414481318162
459,0.0232018561484872
460,0.1325387189159669
461,0.0643742040060186
462,-0.0811123986095103
463,0.0173782077275103
464,-0.0869666048237509
465,0.0394672557970881
466,0.1573313273926559
467,-0.0636905795842656
468,0.0328766869560478
469,0.0539164641906886
470,-0.0463016552841836
471,0.1069580550978534
472,-0.0549545901544506
473,-0.0376146523538078
474,-0.0781838188452072
475,0.5875996217749592
476,-0.2708925910876376
477,-0.1492132392837757
478,-0.0542888165037894
479,-0.0407331975560096
